seed,metric,frac_overlap,metric_overlap,metric_ood_all_mnist,metric_ood_all_svhn
0,cycle_knn,0.0,0.983800,0.716500,0.745659
0,mutual_knn,0.0,0.745090,0.361540,0.413214
0,lcs_knn,0.0,4.790800,2.389400,2.674631
0,cka,0.0,0.957605,0.893745,0.954923
0,unbiased_cka,0.0,0.956206,0.891959,0.951685
0,cknna,0.0,0.748237,0.317743,0.391019
0,svcca,0.0,0.702328,0.697304,0.778590
0,edit_distance_knn,0.0,0.271420,0.070990,0.090281
0,cycle_knn,0.1,0.981900,0.665900,0.722303
0,mutual_knn,0.1,0.724680,0.295580,0.356838
0,lcs_knn,0.1,4.626800,2.029800,2.360633
0,cka,0.1,0.939126,0.879333,0.904909
0,unbiased_cka,0.1,0.938137,0.876173,0.903004
0,cknna,0.1,0.730094,0.255849,0.337762
0,svcca,0.1,0.644912,0.752648,0.766860
0,edit_distance_knn,0.1,0.256570,0.055850,0.073160
0,cycle_knn,0.2,0.983600,0.680000,0.732061
0,mutual_knn,0.2,0.735840,0.356520,0.392429
0,lcs_knn,0.2,4.722100,2.364400,2.568262
0,cka,0.2,0.940107,0.897746,0.939408
0,unbiased_cka,0.2,0.939985,0.897551,0.939275
0,cknna,0.2,0.746243,0.323011,0.377453
0,svcca,0.2,0.690799,0.719622,0.774916
0,edit_distance_knn,0.2,0.264920,0.071970,0.086298
0,cycle_knn,0.3,0.982800,0.660600,0.704095
0,mutual_knn,0.3,0.745700,0.333470,0.354921
0,lcs_knn,0.3,4.799200,2.237300,2.365819
0,cka,0.3,0.952281,0.902296,0.865550
0,unbiased_cka,0.3,0.951252,0.899319,0.860860
0,cknna,0.3,0.753804,0.299833,0.343070
0,svcca,0.3,0.755983,0.760692,0.799539
0,edit_distance_knn,0.3,0.273710,0.065330,0.074612
0,cycle_knn,0.4,0.982600,0.671300,0.723072
0,mutual_knn,0.4,0.738200,0.317810,0.357114
0,lcs_knn,0.4,4.731300,2.146000,2.375576
0,cka,0.4,0.949193,0.848055,0.832129
0,unbiased_cka,0.4,0.948039,0.845390,0.800302
0,cknna,0.4,0.742714,0.281385,0.344302
0,svcca,0.4,0.693944,0.749219,0.723930
0,edit_distance_knn,0.4,0.265670,0.060590,0.074996
0,cycle_knn,0.5,0.983200,0.707700,0.723725
0,mutual_knn,0.5,0.755100,0.356880,0.368231
0,lcs_knn,0.5,4.895500,2.368200,2.442686
0,cka,0.5,0.956733,0.916521,0.929951
0,unbiased_cka,0.5,0.955510,0.916282,0.929755
0,cknna,0.5,0.759570,0.315094,0.348946
0,svcca,0.5,0.741234,0.786111,0.736564
0,edit_distance_knn,0.5,0.283590,0.071150,0.077555
0,cycle_knn,0.6,0.983000,0.659400,0.698909
0,mutual_knn,0.6,0.745620,0.298940,0.315124
0,lcs_knn,0.6,4.803900,2.045900,2.143131
0,cka,0.6,0.952116,0.838750,0.824667
0,unbiased_cka,0.6,0.950754,0.836102,0.822933
0,cknna,0.6,0.748274,0.263295,0.295809
0,svcca,0.6,0.709267,0.784417,0.758654
0,edit_distance_knn,0.6,0.271790,0.057110,0.062615
0,cycle_knn,0.7,0.984100,0.627700,0.665834
0,mutual_knn,0.7,0.737750,0.279980,0.312193
0,lcs_knn,0.7,4.724600,1.941300,2.119200
0,cka,0.7,0.946080,0.867872,0.916224
0,unbiased_cka,0.7,0.945109,0.867554,0.916041
0,cknna,0.7,0.744845,0.247501,0.296132
0,svcca,0.7,0.697378,0.702452,0.782733
0,edit_distance_knn,0.7,0.265170,0.051950,0.062681
0,cycle_knn,0.8,0.984300,0.697400,0.722073
0,mutual_knn,0.8,0.743510,0.362880,0.394806
0,lcs_knn,0.8,4.764200,2.389200,2.580094
0,cka,0.8,0.954011,0.878752,0.966477
0,unbiased_cka,0.8,0.952581,0.878528,0.964323
0,cknna,0.8,0.748203,0.324960,0.378817
0,svcca,0.8,0.700988,0.707591,0.781060
0,edit_distance_knn,0.8,0.269540,0.074060,0.086194
0,cycle_knn,0.9,0.984400,0.696000,0.704018
0,mutual_knn,0.9,0.737090,0.351050,0.367713
0,lcs_knn,0.9,4.737200,2.328800,2.435887
0,cka,0.9,0.948595,0.875092,0.860580
0,unbiased_cka,0.9,0.948487,0.872300,0.841099
0,cknna,0.9,0.745660,0.321044,0.353312
0,svcca,0.9,0.649074,0.747997,0.753144
0,edit_distance_knn,0.9,0.267190,0.070970,0.077823
0,cycle_knn,1.0,0.985100,0.675400,0.717156
0,mutual_knn,1.0,0.742910,0.304300,0.352977
0,lcs_knn,1.0,4.777100,2.061300,2.343193
0,cka,1.0,0.953238,0.887413,0.886642
0,unbiased_cka,1.0,0.951882,0.887260,0.886511
0,cknna,1.0,0.745541,0.276837,0.339031
0,svcca,1.0,0.683282,0.728461,0.754429
0,edit_distance_knn,1.0,0.270270,0.058380,0.073525
1,cycle_knn,0.0,0.985100,0.711200,0.721804
1,mutual_knn,0.0,0.752130,0.379550,0.415285
1,lcs_knn,0.0,4.851500,2.480400,2.699447
1,cka,0.0,0.955328,0.920094,0.928224
1,unbiased_cka,0.0,0.953844,0.915517,0.923635
1,cknna,0.0,0.757415,0.339699,0.401948
1,svcca,0.0,0.701675,0.805905,0.792888
1,edit_distance_knn,0.0,0.278940,0.079600,0.093393
1,cycle_knn,0.1,0.982100,0.689400,0.729295
1,mutual_knn,0.1,0.730890,0.354500,0.378830
1,lcs_knn,0.1,4.689400,2.346900,2.487592
1,cka,0.1,0.947858,0.909487,0.926420
1,unbiased_cka,0.1,0.946805,0.905395,0.922544
1,cknna,0.1,0.737521,0.323627,0.362160
1,svcca,0.1,0.702732,0.725182,0.792254
1,edit_distance_knn,0.1,0.261850,0.071530,0.081308
1,cycle_knn,0.2,0.985200,0.702300,0.746427
1,mutual_knn,0.2,0.742090,0.360250,0.418012
1,lcs_knn,0.2,4.770700,2.384700,2.698717
1,cka,0.2,0.950693,0.897188,0.962059
1,unbiased_cka,0.2,0.949500,0.896944,0.960074
1,cknna,0.2,0.748577,0.322378,0.396808
1,svcca,0.2,0.713577,0.734620,0.781835
1,edit_distance_knn,0.2,0.269770,0.073470,0.092886
1,cycle_knn,0.3,0.984600,0.685500,0.717963
1,mutual_knn,0.3,0.742950,0.349480,0.369707
1,lcs_knn,0.3,4.783700,2.312500,2.449332
1,cka,0.3,0.957743,0.899270,0.899863
1,unbiased_cka,0.3,0.956687,0.898994,0.896205
1,cknna,0.3,0.751222,0.312853,0.349816
1,svcca,0.3,0.677948,0.736433,0.779348
1,edit_distance_knn,0.3,0.271450,0.068140,0.078742
1,cycle_knn,0.4,0.983600,0.689900,0.719038
1,mutual_knn,0.4,0.734710,0.349590,0.372795
1,lcs_knn,0.4,4.725000,2.334000,2.455209
1,cka,0.4,0.952302,0.921742,0.905066
1,unbiased_cka,0.4,0.950941,0.918929,0.901953
1,cknna,0.4,0.739414,0.307039,0.349021
1,svcca,0.4,0.688747,0.769605,0.751296
1,edit_distance_knn,0.4,0.265060,0.069350,0.078722
1,cycle_knn,0.5,0.984200,0.680300,0.710472
1,mutual_knn,0.5,0.722080,0.319770,0.357909
1,lcs_knn,0.5,4.629300,2.145000,2.375576
1,cka,0.5,0.939805,0.902991,0.960646
1,unbiased_cka,0.5,0.938743,0.901924,0.960562
1,cknna,0.5,0.727132,0.280759,0.340146
1,svcca,0.5,0.645339,0.742707,0.758739
1,edit_distance_knn,0.5,0.254790,0.060750,0.074712
1,cycle_knn,0.6,0.985000,0.670000,0.697680
1,mutual_knn,0.6,0.749620,0.287680,0.304944
1,lcs_knn,0.6,4.823800,1.983100,2.088161
1,cka,0.6,0.955750,0.868869,0.860326
1,unbiased_cka,0.6,0.955395,0.868630,0.814025
1,cknna,0.6,0.756425,0.247446,0.287505
1,svcca,0.6,0.706116,0.716729,0.718779
1,edit_distance_knn,0.6,0.275590,0.054110,0.060556
1,cycle_knn,0.7,0.985400,0.732500,0.747618
1,mutual_knn,0.7,0.768720,0.405080,0.426928
1,lcs_knn,0.7,4.992600,2.625000,2.760410
1,cka,0.7,0.962502,0.910004,0.931525
1,unbiased_cka,0.7,0.962420,0.909789,0.931334
1,cknna,0.7,0.774255,0.370817,0.408339
1,svcca,0.7,0.696942,0.780894,0.779984
1,edit_distance_knn,0.7,0.294210,0.087070,0.096424
1,cycle_knn,0.8,0.984200,0.691300,0.721497
1,mutual_knn,0.8,0.755110,0.350730,0.372837
1,lcs_knn,0.8,4.878000,2.326900,2.464006
1,cka,0.8,0.958416,0.884958,0.931930
1,unbiased_cka,0.8,0.958327,0.880597,0.928406
1,cknna,0.8,0.765723,0.310937,0.357074
1,svcca,0.8,0.707102,0.758266,0.791703
1,edit_distance_knn,0.8,0.280890,0.070670,0.079602
1,cycle_knn,0.9,0.984400,0.683100,0.719115
1,mutual_knn,0.9,0.736360,0.335340,0.366875
1,lcs_knn,0.9,4.727300,2.249700,2.428895
1,cka,0.9,0.948234,0.899336,0.933314
1,unbiased_cka,0.9,0.947071,0.899104,0.930012
1,cknna,0.9,0.745815,0.301402,0.347722
1,svcca,0.9,0.712990,0.711871,0.779808
1,edit_distance_knn,0.9,0.265920,0.065550,0.077259
1,cycle_knn,1.0,0.983200,0.662900,0.722841
1,mutual_knn,1.0,0.745800,0.345140,0.397288
1,lcs_knn,1.0,4.781200,2.290300,2.599723
1,cka,1.0,0.954629,0.894269,0.927207
1,unbiased_cka,1.0,0.953174,0.894008,0.922041
1,cknna,1.0,0.749613,0.309214,0.384825
1,svcca,1.0,0.666885,0.723848,0.803649
1,edit_distance_knn,1.0,0.271400,0.068260,0.087300
2,cycle_knn,0.0,0.982600,0.661600,0.719845
2,mutual_knn,0.0,0.734030,0.321810,0.362308
2,lcs_knn,0.0,4.711100,2.167500,2.401736
2,cka,0.0,0.952565,0.868983,0.910395
2,unbiased_cka,0.0,0.951547,0.865809,0.907205
2,cknna,0.0,0.740803,0.287187,0.347624
2,svcca,0.0,0.701669,0.719069,0.744919
2,edit_distance_knn,0.0,0.264020,0.061820,0.075884
2,cycle_knn,0.1,0.985100,0.752000,0.768554
2,mutual_knn,0.1,0.753280,0.401330,0.439144
2,lcs_knn,0.1,4.860200,2.601200,2.821950
2,cka,0.1,0.959418,0.912109,0.946950
2,unbiased_cka,0.1,0.957788,0.908049,0.943730
2,cknna,0.1,0.758872,0.362401,0.419356
2,svcca,0.1,0.720002,0.799424,0.780947
2,edit_distance_knn,0.1,0.279260,0.084410,0.100618
2,cycle_knn,0.2,0.981400,0.636600,0.701329
2,mutual_knn,0.2,0.716060,0.276130,0.320782
2,lcs_knn,0.2,4.556600,1.910300,2.172403
2,cka,0.2,0.938198,0.846026,0.921650
2,unbiased_cka,0.2,0.936819,0.844238,0.920130
2,cknna,0.2,0.718818,0.243975,0.307308
2,svcca,0.2,0.676636,0.711229,0.756193
2,edit_distance_knn,0.2,0.248510,0.050190,0.063983
2,cycle_knn,0.3,0.983700,0.668800,0.718193
2,mutual_knn,0.3,0.747160,0.305390,0.343251
2,lcs_knn,0.3,4.793900,2.084900,2.290143
2,cka,0.3,0.953150,0.883605,0.942765
2,unbiased_cka,0.3,0.951947,0.882423,0.940771
2,cknna,0.3,0.753936,0.268506,0.324989
2,svcca,0.3,0.703060,0.718864,0.751067
2,edit_distance_knn,0.3,0.271980,0.058160,0.069925
2,cycle_knn,0.4,0.984700,0.629200,0.686616
2,mutual_knn,0.4,0.740280,0.290910,0.317717
2,lcs_knn,0.4,4.770900,2.001100,2.168101
2,cka,0.4,0.952489,0.814837,0.783340
2,unbiased_cka,0.4,0.951141,0.814500,0.780828
2,cknna,0.4,0.747858,0.259365,0.304413
2,svcca,0.4,0.693994,0.705862,0.749854
2,edit_distance_knn,0.4,0.270990,0.054400,0.064632
2,cycle_knn,0.5,0.985600,0.728100,0.774700
2,mutual_knn,0.5,0.769220,0.396690,0.447296
2,lcs_knn,0.5,4.994500,2.583800,2.859481
2,cka,0.5,0.960493,0.922984,0.941900
2,unbiased_cka,0.5,0.959713,0.922822,0.939027
2,cknna,0.5,0.772556,0.355384,0.427578
2,svcca,0.5,0.698720,0.761305,0.816356
2,edit_distance_knn,0.5,0.294640,0.084220,0.102896
2,cycle_knn,0.6,0.985200,0.676700,0.721996
2,mutual_knn,0.6,0.758300,0.335370,0.380109
2,lcs_knn,0.6,4.892400,2.244000,2.502113
2,cka,0.6,0.957504,0.868592,0.875208
2,unbiased_cka,0.6,0.957412,0.868365,0.872544
2,cknna,0.6,0.765523,0.302041,0.364882
2,svcca,0.6,0.729431,0.762382,0.797214
2,edit_distance_knn,0.6,0.282880,0.066240,0.081941
2,cycle_knn,0.7,0.985300,0.729100,0.747580
2,mutual_knn,0.7,0.769640,0.404780,0.423632
2,lcs_knn,0.7,4.994400,2.627200,2.735287
2,cka,0.7,0.967983,0.926949,0.937289
2,unbiased_cka,0.7,0.966564,0.925640,0.934676
2,cknna,0.7,0.776909,0.357475,0.402466
2,svcca,0.7,0.684472,0.736881,0.786310
2,edit_distance_knn,0.7,0.294560,0.086570,0.095617
2,cycle_knn,0.8,0.983100,0.642400,0.706400
2,mutual_knn,0.8,0.727330,0.285310,0.345417
2,lcs_knn,0.8,4.667300,1.961600,2.302973
2,cka,0.8,0.950050,0.821956,0.897690
2,unbiased_cka,0.8,0.948557,0.821685,0.894959
2,cknna,0.8,0.732685,0.255160,0.334140
2,svcca,0.8,0.716313,0.716197,0.746445
2,edit_distance_knn,0.8,0.260340,0.052370,0.070663
2,cycle_knn,0.9,0.985300,0.704200,0.732598
2,mutual_knn,0.9,0.752790,0.345140,0.385403
2,lcs_knn,0.9,4.843000,2.289200,2.527774
2,cka,0.9,0.956788,0.893917,0.949097
2,unbiased_cka,0.9,0.955237,0.891601,0.947263
2,cknna,0.9,0.755155,0.305758,0.373198
2,svcca,0.9,0.697799,0.705786,0.771893
2,edit_distance_knn,0.9,0.277920,0.067430,0.082629
2,cycle_knn,1.0,0.984100,0.682300,0.721996
2,mutual_knn,1.0,0.736120,0.329590,0.375922
2,lcs_knn,1.0,4.701100,2.206000,2.480255
2,cka,1.0,0.952047,0.916360,0.937768
2,unbiased_cka,1.0,0.950637,0.916170,0.937668
2,cknna,1.0,0.743453,0.290949,0.355131
2,svcca,1.0,0.711207,0.705829,0.758140
2,edit_distance_knn,1.0,0.262790,0.063910,0.080205
3,cycle_knn,0.0,0.984800,0.680100,0.719153
3,mutual_knn,0.0,0.748830,0.315400,0.340154
3,lcs_knn,0.0,4.808300,2.133400,2.277774
3,cka,0.0,0.954048,0.861722,0.935192
3,unbiased_cka,0.0,0.953355,0.858537,0.933745
3,cknna,0.0,0.752614,0.278058,0.320392
3,svcca,0.0,0.689177,0.690384,0.762389
3,edit_distance_knn,0.0,0.275830,0.060030,0.069392
3,cycle_knn,0.1,0.985600,0.734800,0.758297
3,mutual_knn,0.1,0.760220,0.374630,0.394906
3,lcs_knn,0.1,4.937300,2.455300,2.576982
