seed,metric,frac_overlap,metric_overlap,metric_ood_one
0,cycle_knn,1.0,0.939600,-1.000000
0,mutual_knn,1.0,0.573680,-1.000000
0,lcs_knn,1.0,0.883600,-1.000000
0,cka,1.0,0.997781,-1.000000
0,unbiased_cka,1.0,0.996041,-1.000000
0,cknna,1.0,0.540446,-1.000000
0,svcca,1.0,0.809953,-1.000000
0,edit_distance_knn,1.0,0.787200,-1.000000
0,cycle_knn,0.6,0.954333,0.879750
0,mutual_knn,0.6,0.599567,0.407325
0,lcs_knn,0.6,0.923333,0.655750
0,cka,0.6,0.997374,0.995784
0,unbiased_cka,0.6,0.995905,0.994577
0,cknna,0.6,0.558636,0.368993
0,svcca,0.6,0.770985,0.787652
0,edit_distance_knn,0.6,0.790300,0.773000
0,cycle_knn,0.2,0.966000,0.824875
0,mutual_knn,0.2,0.679000,0.332975
0,lcs_knn,0.2,1.022000,0.546500
0,cka,0.2,0.995674,0.994811
0,unbiased_cka,0.2,0.994375,0.993299
0,cknna,0.2,0.645361,0.303204
0,svcca,0.2,0.788846,0.750333
0,edit_distance_knn,0.2,0.800700,0.767000
0,cycle_knn,0.4,0.960000,0.857833
0,mutual_knn,0.4,0.618900,0.384083
0,lcs_knn,0.4,0.951500,0.631000
0,cka,0.4,0.996829,0.995014
0,unbiased_cka,0.4,0.994834,0.993744
0,cknna,0.4,0.581956,0.351785
0,svcca,0.4,0.785296,0.792676
0,edit_distance_knn,0.4,0.793150,0.772333
0,cycle_knn,0.8,0.949750,0.911000
0,mutual_knn,0.8,0.588475,0.492700
0,lcs_knn,0.8,0.895000,0.777000
0,cka,0.8,0.997600,0.995382
0,unbiased_cka,0.8,0.995986,0.993796
0,cknna,0.8,0.555005,0.457102
0,svcca,0.8,0.795036,0.798236
0,edit_distance_knn,0.8,0.788325,0.778350
0,cycle_knn,0.0,-1.000000,0.811900
0,mutual_knn,0.0,-1.000000,0.329920
0,lcs_knn,0.0,-1.000000,0.544700
0,cka,0.0,-1.000000,0.994580
0,unbiased_cka,0.0,-1.000000,0.992867
0,cknna,0.0,-1.000000,0.301371
0,svcca,0.0,-1.000000,0.818695
0,edit_distance_knn,0.0,-1.000000,0.767190
1,cycle_knn,1.0,0.947600,-1.000000
1,mutual_knn,1.0,0.566020,-1.000000
1,lcs_knn,1.0,0.870400,-1.000000
1,cka,1.0,0.997584,-1.000000
1,unbiased_cka,1.0,0.996612,-1.000000
1,cknna,1.0,0.534286,-1.000000
1,svcca,1.0,0.754120,-1.000000
1,edit_distance_knn,1.0,0.785120,-1.000000
1,cycle_knn,0.6,0.952667,0.878500
1,mutual_knn,0.6,0.554567,0.382325
1,lcs_knn,0.6,0.852000,0.614000
1,cka,0.6,0.996589,0.994619
1,unbiased_cka,0.6,0.995532,0.992834
1,cknna,0.6,0.523868,0.353821
1,svcca,0.6,0.755019,0.746270
1,edit_distance_knn,0.6,0.784067,0.769950
1,cycle_knn,0.2,0.972000,0.828375
1,mutual_knn,0.2,0.649200,0.327950
1,lcs_knn,0.2,0.977000,0.540625
1,cka,0.2,0.996557,0.996207
1,unbiased_cka,0.2,0.995360,0.994941
1,cknna,0.2,0.617460,0.296823
1,svcca,0.2,0.777694,0.755407
1,edit_distance_knn,0.2,0.793600,0.766962
1,cycle_knn,0.4,0.964500,0.858667
1,mutual_knn,0.4,0.581900,0.354717
1,lcs_knn,0.4,0.903000,0.587333
1,cka,0.4,0.997262,0.995766
1,unbiased_cka,0.4,0.995964,0.994839
1,cknna,0.4,0.554177,0.319722
1,svcca,0.4,0.771654,0.727367
1,edit_distance_knn,0.4,0.787650,0.768417
1,cycle_knn,0.8,0.952500,0.916000
1,mutual_knn,0.8,0.561825,0.444000
1,lcs_knn,0.8,0.862500,0.696000
1,cka,0.8,0.997116,0.993448
1,unbiased_cka,0.8,0.995637,0.991576
1,cknna,0.8,0.534130,0.413234
1,svcca,0.8,0.756308,0.741171
1,edit_distance_knn,0.8,0.786625,0.773800
1,cycle_knn,0.0,-1.000000,0.809800
1,mutual_knn,0.0,-1.000000,0.314000
1,lcs_knn,0.0,-1.000000,0.522600
1,cka,0.0,-1.000000,0.995638
1,unbiased_cka,0.0,-1.000000,0.994221
1,cknna,0.0,-1.000000,0.287395
1,svcca,0.0,-1.000000,0.777095
1,edit_distance_knn,0.0,-1.000000,0.765870
2,cycle_knn,1.0,0.939600,-1.000000
2,mutual_knn,1.0,0.549540,-1.000000
2,lcs_knn,1.0,0.838000,-1.000000
2,cka,1.0,0.996652,-1.000000
2,unbiased_cka,1.0,0.994810,-1.000000
2,cknna,1.0,0.516636,-1.000000
2,svcca,1.0,0.808349,-1.000000
2,edit_distance_knn,1.0,0.783860,-1.000000
2,cycle_knn,0.6,0.945000,0.883750
2,mutual_knn,0.6,0.576567,0.410050
2,lcs_knn,0.6,0.888000,0.663250
2,cka,0.6,0.996337,0.995483
2,unbiased_cka,0.6,0.994661,0.993954
2,cknna,0.6,0.554027,0.371405
2,svcca,0.6,0.823703,0.750225
2,edit_distance_knn,0.6,0.787900,0.772725
2,cycle_knn,0.2,0.967000,0.825250
2,mutual_knn,0.2,0.670300,0.350088
2,lcs_knn,0.2,1.035000,0.574125
2,cka,0.2,0.996584,0.994767
2,unbiased_cka,0.2,0.995567,0.993560
2,cknna,0.2,0.632915,0.321805
2,svcca,0.2,0.795088,0.775615
2,edit_distance_knn,0.2,0.800100,0.767863
2,cycle_knn,0.4,0.962000,0.852333
2,mutual_knn,0.4,0.625700,0.369050
2,lcs_knn,0.4,0.949500,0.590167
2,cka,0.4,0.995403,0.992992
2,unbiased_cka,0.4,0.994029,0.991512
2,cknna,0.4,0.601113,0.335675
2,svcca,0.4,0.783864,0.797891
2,edit_distance_knn,0.4,0.792550,0.768817
2,cycle_knn,0.8,0.942500,0.926500
2,mutual_knn,0.8,0.552950,0.500450
2,lcs_knn,0.8,0.844500,0.781500
2,cka,0.8,0.996416,0.995300
2,unbiased_cka,0.8,0.994853,0.993315
2,cknna,0.8,0.523635,0.471815
2,svcca,0.8,0.758440,0.744472
2,edit_distance_knn,0.8,0.784650,0.777750
2,cycle_knn,0.0,-1.000000,0.815900
2,mutual_knn,0.0,-1.000000,0.335020
2,lcs_knn,0.0,-1.000000,0.553400
2,cka,0.0,-1.000000,0.996268
2,unbiased_cka,0.0,-1.000000,0.994949
2,cknna,0.0,-1.000000,0.304160
2,svcca,0.0,-1.000000,0.768667
2,edit_distance_knn,0.0,-1.000000,0.767260
3,cycle_knn,1.0,0.937200,-1.000000
3,mutual_knn,1.0,0.555000,-1.000000
3,lcs_knn,1.0,0.841800,-1.000000
3,cka,1.0,0.980079,-1.000000
3,unbiased_cka,1.0,0.978271,-1.000000
3,cknna,1.0,0.518726,-1.000000
3,svcca,1.0,0.792684,-1.000000
3,edit_distance_knn,1.0,0.785160,-1.000000
3,cycle_knn,0.6,0.957667,0.900000
3,mutual_knn,0.6,0.601133,0.441125
3,lcs_knn,0.6,0.907667,0.702000
3,cka,0.6,0.985082,0.982368
3,unbiased_cka,0.6,0.983489,0.981300
3,cknna,0.6,0.556563,0.406771
3,svcca,0.6,0.791098,0.797220
3,edit_distance_knn,0.6,0.790000,0.775250
3,cycle_knn,0.2,0.978000,0.826625
3,mutual_knn,0.2,0.672900,0.344025
3,lcs_knn,0.2,1.024000,0.564625
3,cka,0.2,0.980927,0.977522
3,unbiased_cka,0.2,0.979107,0.976285
3,cknna,0.2,0.630946,0.312847
3,svcca,0.2,0.814784,0.786537
3,edit_distance_knn,0.2,0.799300,0.768425
3,cycle_knn,0.4,0.966500,0.841167
3,mutual_knn,0.4,0.627700,0.352967
3,lcs_knn,0.4,0.958000,0.575000
3,cka,0.4,0.975983,0.975009
3,unbiased_cka,0.4,0.974657,0.973614
3,cknna,0.4,0.591130,0.325782
3,svcca,0.4,0.819823,0.795383
3,edit_distance_knn,0.4,0.792950,0.767683
3,cycle_knn,0.8,0.946500,0.946000
3,mutual_knn,0.8,0.581775,0.530750
3,lcs_knn,0.8,0.891250,0.834500
3,cka,0.8,0.984201,0.985523
3,unbiased_cka,0.8,0.982919,0.984333
3,cknna,0.8,0.546638,0.491255
3,svcca,0.8,0.786316,0.825576
3,edit_distance_knn,0.8,0.787250,0.783800
3,cycle_knn,0.0,-1.000000,0.807000
3,mutual_knn,0.0,-1.000000,0.318490
3,lcs_knn,0.0,-1.000000,0.534200
3,cka,0.0,-1.000000,0.971842
3,unbiased_cka,0.0,-1.000000,0.969905
3,cknna,0.0,-1.000000,0.291008
3,svcca,0.0,-1.000000,0.799457
3,edit_distance_knn,0.0,-1.000000,0.766000
